date,store_id,product,region,sales
2022-01-01,101,Grocery,North,427.01704408818193
2022-01-01,101,Furniture,East,278.47142020698715
2022-01-01,101,Clothing,West,728.2411029103861
2022-01-01,102,Furniture,West,1517.7861033296372
2022-01-01,103,Furniture,West,2275.0671838566714
2022-01-01,103,Electronics,West,109.58517089597336
2022-01-01,104,Clothing,East,292.7734700412818
2022-01-01,104,Furniture,South,1357.7947574971045
2022-01-01,104,Clothing,West,995.4468740814023
2022-01-01,105,Clothing,North,938.7724103088678
2022-01-01,105,Furniture,West,1504.7919633635572
2022-01-01,105,Furniture,North,556.2413380532283
2022-01-02,101,Clothing,West,272.6068301087532
2022-01-02,101,Furniture,North,554.3143772870819
2022-01-02,101,Grocery,West,840.6041984217469
2022-01-02,101,Furniture,North,2172.3384946741867
2022-01-02,102,Grocery,South,834.7132207196345
2022-01-02,102,Clothing,West,1200.0495044530144
2022-01-02,103,Electronics,South,583.2049656439643
2022-01-02,103,Electronics,West,691.99243688157
2022-01-02,103,Grocery,West,1144.1742066625204
2022-01-02,103,Electronics,North,1898.397743917383
2022-01-02,104,Electronics,West,680.2123885586909
2022-01-02,104,Clothing,North,1982.0997768159832
2022-01-02,104,Furniture,North,1803.3196716676464
2022-01-02,104,Electronics,West,863.1433423157013
2022-01-02,105,Grocery,North,1595.6750444815498
2022-01-02,105,Electronics,East,291.6076583523154
2022-01-03,101,Clothing,North,1343.7409531971023
2022-01-03,101,Clothing,North,1314.626617008286
2022-01-03,102,Furniture,West,262.65488629765554
2022-01-03,102,Grocery,North,1010.5648679153393
2022-01-03,103,Electronics,East,1054.32315777308
2022-01-03,103,Electronics,West,1240.9666627992524
2022-01-03,104,Furniture,West,1956.3257543606353
2022-01-03,104,Furniture,West,1804.457926413683
2022-01-03,104,Grocery,West,2036.1205966607706
2022-01-03,105,Electronics,East,1850.236587877225
2022-01-03,105,Electronics,North,1198.7250657020068
2022-01-03,105,Clothing,North,944.9862436075405
2022-01-03,105,Electronics,East,537.0319833071885
2022-01-04,101,Grocery,West,1347.8835746502245
2022-01-04,101,Electronics,South,1571.7788450950534
2022-01-04,101,Electronics,West,121.60626485816019
2022-01-04,101,Electronics,South,1010.4066052050849
2022-01-04,102,Electronics,West,951.015333156853
2022-01-04,102,Furniture,West,1179.916252429284
2022-01-04,103,Clothing,South,714.3037066238026
2022-01-04,104,Furniture,South,870.1213677536365
2022-01-04,104,Electronics,West,1097.5641142726686
2022-01-04,104,Grocery,North,1534.7415444181015
2022-01-04,104,Furniture,East,1517.4123853464798
2022-01-04,105,Grocery,East,354.15565489808483
2022-01-04,105,Furniture,West,367.47945944453676
2022-01-04,105,Grocery,North,293.3419218387296
2022-01-04,105,Furniture,West,993.2287718834567
2022-01-05,101,Electronics,South,2005.213739311017
2022-01-05,101,Grocery,East,438.94452902593
2022-01-05,101,Electronics,East,1431.0880736605377
2022-01-05,101,Furniture,West,1799.9898024756055
2022-01-05,102,Clothing,North,373.439496824682
2022-01-05,102,Clothing,West,268.8740062557811
2022-01-05,102,Clothing,North,60.916815290193746
2022-01-05,102,Furniture,East,1160.5384431586608
2022-01-05,103,Grocery,North,73.90848211058976
2022-01-05,104,Grocery,West,1701.671617827783
2022-01-05,104,Electronics,West,1129.780881315416
2022-01-05,104,Clothing,South,486.14987926844253
2022-01-05,104,Furniture,South,839.1334892091402
2022-01-05,105,Electronics,South,1416.1431177236398
2022-01-05,105,Clothing,West,1734.3119372917283
2022-01-06,101,Clothing,West,1103.103371699357
2022-01-06,101,Electronics,West,1860.5090102533763
2022-01-06,101,Electronics,East,2071.8750638094443
2022-01-06,101,Electronics,West,689.4373134368213
2022-01-06,102,Clothing,West,750.1638962906162
2022-01-06,102,Furniture,East,1803.9444076265906
2022-01-06,102,Clothing,South,486.68129133851784
2022-01-06,102,Furniture,South,709.512477628313
2022-01-06,103,Clothing,South,1919.636176968896
2022-01-06,103,Electronics,West,1925.1149904754873
2022-01-06,104,Grocery,North,260.8951250589337
2022-01-06,105,Grocery,South,1579.7186688595386
2022-01-06,105,Furniture,West,1000.9088441613463
2022-01-07,101,Clothing,North,337.78827512588214
2022-01-07,101,Furniture,South,679.5704167039298
2022-01-07,102,Grocery,North,991.9531430551908
2022-01-07,102,Electronics,East,231.1359247744949
2022-01-07,102,Electronics,West,1319.0042032333179
2022-01-07,103,Grocery,North,2063.6150192501436
2022-01-07,103,Furniture,South,113.06809167465069
2022-01-07,103,Furniture,East,431.84927429321675
2022-01-07,103,Furniture,North,244.70010758120108
2022-01-07,104,Furniture,South,331.0004386453547
2022-01-07,105,Grocery,South,239.37008874530704
2022-01-07,105,Grocery,East,1101.4964586492608
2022-01-08,101,Clothing,East,600.61135002981
2022-01-08,102,Electronics,South,212.80196881765994
2022-01-08,103,Electronics,South,1677.3606831896225
2022-01-08,103,Furniture,South,1197.4709884918539
2022-01-08,103,Clothing,West,310.3902789212219
2022-01-08,104,Furniture,North,1547.7189700157128
2022-01-08,104,Grocery,East,79.85833413691564
2022-01-08,105,Electronics,North,395.5195462173717
2022-01-08,105,Grocery,West,1311.8108329132992
2022-01-08,105,Clothing,West,1127.0091639248635
2022-01-08,105,Furniture,East,1582.6474645307085
2022-01-09,101,Grocery,East,1327.7705860916642
2022-01-09,102,Furniture,East,410.7889004723691
2022-01-09,102,Grocery,North,1732.7468035811607
2022-01-09,102,Furniture,South,1536.27780611912
2022-01-09,102,Electronics,South,1231.0626106421018
2022-01-09,103,Grocery,West,869.3840877058888
2022-01-09,104,Electronics,West,1703.6175141181334
2022-01-09,105,Clothing,West,313.70974185839884
2022-01-10,101,Furniture,West,1460.5865646534926
2022-01-10,101,Electronics,East,1452.4320973112976
2022-01-10,101,Electronics,North,1062.3264471480275
2022-01-10,102,Electronics,South,655.1024637135957
2022-01-10,102,Clothing,West,978.5764476241234
2022-01-10,102,Furniture,East,216.69320880903527
2022-01-10,102,Grocery,East,427.4136733642162
2022-01-10,103,Clothing,West,1587.808441149177
2022-01-10,104,Furniture,East,144.68700539743182
2022-01-10,104,Clothing,East,1213.616229699718
2022-01-10,104,Electronics,North,1768.6261723503897
2022-01-10,105,Electronics,West,202.61648938453342
2022-01-10,105,Electronics,North,234.23101506521402
2022-01-11,101,Grocery,West,1678.1162952246343
2022-01-11,101,Clothing,North,1259.387764149219
2022-01-11,101,Grocery,South,1096.1679817024738
2022-01-11,102,Clothing,South,1753.50306774603
2022-01-11,102,Clothing,South,1008.747980755158
2022-01-11,102,Furniture,West,273.5635690202322
2022-01-11,103,Clothing,North,1335.4455503536224
2022-01-11,104,Clothing,West,653.3765319840941
2022-01-11,105,Electronics,South,729.9854742770115
2022-01-11,105,Grocery,South,1964.0697519074884
2022-01-11,105,Grocery,North,517.6899732204153
2022-01-11,105,Clothing,North,483.04679700439794
2022-01-12,101,Clothing,North,1384.8490728271638
2022-01-12,101,Electronics,East,608.8398389036453
2022-01-12,101,Grocery,West,2177.116331087225
2022-01-12,102,Furniture,West,1205.3577616110201
2022-01-12,102,Grocery,South,457.62193988814386
2022-01-12,102,Grocery,West,808.8890726278255
2022-01-12,102,Clothing,North,698.4329205886129
2022-01-12,103,Electronics,North,1553.7130270414377
2022-01-12,103,Electronics,South,2043.2393457111718
2022-01-12,103,Furniture,South,2144.7815398925513
2022-01-12,103,Furniture,East,137.15927475968698
2022-01-12,104,Furniture,West,1915.6733157140875
2022-01-12,105,Electronics,South,783.6571711477812
2022-01-12,105,Clothing,East,655.3262798464667
2022-01-12,105,Grocery,East,1737.119049369676
2022-01-13,101,Electronics,North,1533.4790312096281
2022-01-13,102,Electronics,North,801.4791144878275
2022-01-13,102,Electronics,West,1322.5730369472922
2022-01-13,102,Grocery,East,278.01514505028166
2022-01-13,103,Clothing,East,783.2804559470569
2022-01-13,103,Electronics,South,1828.4147355352727
2022-01-13,104,Clothing,North,1579.4494570364902
2022-01-13,104,Furniture,East,514.526501632296
2022-01-13,104,Furniture,East,744.2485386759702
2022-01-13,105,Furniture,West,1214.30543661024
2022-01-13,105,Furniture,East,1059.9311848081604
2022-01-13,105,Electronics,North,1797.4431801494218
2022-01-14,101,Grocery,West,931.6975323909587
2022-01-14,102,Furniture,North,754.7785308835224
2022-01-14,102,Clothing,East,947.1092803804594
2022-01-14,103,Clothing,West,358.9022594781621
2022-01-14,103,Grocery,West,655.9990935336924
2022-01-14,103,Clothing,West,878.1932831955723
2022-01-14,104,Clothing,East,1735.785012286659
2022-01-14,104,Furniture,West,731.5580826062651
2022-01-14,105,Electronics,West,430.2470799372069
2022-01-15,101,Electronics,South,650.321650118714
2022-01-15,101,Clothing,North,1353.1161526138733
2022-01-15,102,Furniture,East,1824.9687796392407
2022-01-15,102,Electronics,West,1475.759732644936
2022-01-15,102,Electronics,West,445.62745411797135
2022-01-15,102,Furniture,West,592.2760189347459
2022-01-15,103,Furniture,North,186.43780979519835
2022-01-15,103,Clothing,East,114.57481571027176
2022-01-15,103,Furniture,South,676.0626830757996
2022-01-15,103,Clothing,North,396.2599267068531
2022-01-15,104,Electronics,North,426.5755973933667
2022-01-15,104,Electronics,North,1165.147297703636
2022-01-15,104,Grocery,South,1450.019573201846
2022-01-15,105,Furniture,South,1137.2224755577208
2022-01-15,105,Grocery,North,975.434664904641
2022-01-15,105,Grocery,South,1094.483658092376
2022-01-16,101,Grocery,East,1697.6687908594176
2022-01-16,101,Furniture,North,367.6708912099176
